request_id,field,expected,predicted
request_02,amount_safe_to_pay,17229139.2,18114223.74
request_03,amount_safe_to_pay,873000.0,979179.22
request_04,amount_safe_to_pay,8401800.0,10677148.75
request_05,amount_safe_to_pay,737.0,0
request_06,amount_safe_to_pay,603.3,517.20
request_07,amount_safe_to_pay,87170.56,86703.56
request_08,amount_safe_to_pay,284.57,293.47
request_09,amount_safe_to_pay,166.61,17.79
request_10,amount_safe_to_pay,12700.0,0
request_11,amount_safe_to_pay,12510645.0,12513759.60
request_12,amount_safe_to_pay,65164.0,62426.13
request_13,amount_safe_to_pay,433.4,573.28
request_14,amount_safe_to_pay,597.74,627.27
request_15,amount_safe_to_pay,83.05,9.49
request_17,amount_safe_to_pay,243849.58,241797.73
request_18,amount_safe_to_pay,462.0,547.30
request_19,amount_safe_to_pay,28820.0,25803.33
request_20,amount_safe_to_pay,5400.0,8533.15
request_21,amount_safe_to_pay,1543.35,1574.40
request_22,amount_safe_to_pay,475.46,463.71
request_23,amount_safe_to_pay,9152.0,8398.42
request_24,amount_safe_to_pay,13420.0,13633.18
request_25,amount_safe_to_pay,1425000.0,145670.30
request_06,affordability_status,affordable_with_plan,not_affordable
request_08,affordability_status,affordable_later,not_affordable
request_09,affordability_status,affordable_now,not_affordable
request_11,affordability_status,affordable_with_plan,affordable_later
request_13,affordability_status,affordable_later,not_affordable
request_21,affordability_status,affordable_with_plan,affordable_now
request_06,recommended_payment_method,full_payment,not_recommended
request_08,recommended_payment_method,wait,not_recommended
request_09,recommended_payment_method,full_payment,not_recommended
request_11,recommended_payment_method,full_payment,wait
request_13,recommended_payment_method,wait,not_recommended
request_06,payment_plan,2026-01-03:620.40,none
request_08,payment_plan,2025-04-15:996.60,none
request_09,payment_plan,2026-07-04:166.61,none
request_11,payment_plan,2025-05-03:13110000,2025-05-15:13110000
request_13,payment_plan,2024-05-15:941.60,none
request_19,payment_plan,2024-09-04:28820|2024-09-15:10840,2024-09-04:25803.33|2024-09-15:13856.67
request_08,earliest_date_for_full_payment,2025-04-15,
request_09,earliest_date_for_full_payment,2026-07-04,
request_11,earliest_date_for_full_payment,2025-07-15,2025-05-15
request_12,earliest_date_for_full_payment,2026-04-05,
request_13,earliest_date_for_full_payment,2024-05-15,
request_17,earliest_date_for_full_payment,2026-03-15,2026-04-15
request_21,earliest_date_for_full_payment,2026-04-15,2026-04-03
request_06,spending_changes_needed,stop:event_476,none
request_11,spending_changes_needed,reduce_to:event_989:665950,none
request_12,spending_changes_needed,none,reduce_to:event_1017:511.28|reduce_to:event_1054:1072.50
request_21,spending_changes_needed,stop:event_1815|reduce_to:event_1816:23.50,none
