request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today while maintaining the minimum balance of IDR 24768300.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today while maintaining the minimum balance of ZAR 20500.
request_28,427.92,affordable_later,wait,none,2024-07-15,none,"Wait until 2024-07-15, when the full EUR 1302.40 is forecast safe without reducing protected spending."
request_29,20119.09,not_affordable,not_recommended,none,,none,The full ZAR 51524 cannot be completed safely within the deadline while maintaining ZAR 28300.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 installments totaling USD 806.22; the 90-day forecast maintains the minimum balance.
request_31,4493041.17,affordable_later,wait,none,2024-10-15,none,"Wait until 2024-10-15, when the full IDR 18164000 is forecast safe without reducing protected spending."
request_32,0,not_affordable,not_recommended,none,,none,The full ZAR 40018 cannot be completed safely within the deadline while maintaining ZAR 35700.
request_33,42738.49,affordable_later,wait,none,2026-02-15,none,"Wait until 2026-02-15, when the full INR 118000 is forecast safe without reducing protected spending."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today while maintaining the minimum balance of INR 138500.
request_35,53148.39,affordable_later,wait,none,2026-01-15,none,"Wait until 2026-01-15, when the full INR 212000 is forecast safe without reducing protected spending."
request_36,921.75,affordable_later,wait,none,2026-09-15,none,"Wait until 2026-09-15, when the full USD 3954 is forecast safe without reducing protected spending."
request_37,6820153.10,affordable_later,wait,none,2024-04-15,none,"Wait until 2024-04-15, when the full IDR 14649000 is forecast safe without reducing protected spending."
request_38,221.30,affordable_later,wait,none,2025-09-15,none,"Wait until 2025-09-15, when the full EUR 971.30 is forecast safe without reducing protected spending."
request_39,76684.52,affordable_later,wait,none,2026-05-15,none,"Wait until 2026-05-15, when the full INR 208600 is forecast safe without reducing protected spending."
request_40,0,not_affordable,not_recommended,none,,none,The full EUR 1290.30 cannot be completed safely within the deadline while maintaining EUR 1500.
request_41,12048079.59,affordable_later,wait,none,2025-12-15,none,"Wait until 2025-12-15, when the full IDR 38760000 is forecast safe without reducing protected spending."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today while maintaining the minimum balance of INR 113100.
request_43,9868266.98,affordable_later,wait,none,2024-10-15,none,"Wait until 2024-10-15, when the full IDR 43339000 is forecast safe without reducing protected spending."
request_44,0,not_affordable,not_recommended,none,,none,The full INR 95800 cannot be completed safely within the deadline while maintaining INR 82900.
request_45,4798684.34,affordable_later,wait,none,2026-09-15,none,"Wait until 2026-09-15, when the full IDR 21983000 is forecast safe without reducing protected spending."
request_46,45932.38,affordable_with_plan,partial_payment,2024-12-03:45932.38|2024-12-15:3517.62,2024-12-15,none,Pay INR 45932.38 today and the remaining INR 3517.62 on 2024-12-15.
request_47,22554139.53,not_affordable,not_recommended,none,,none,The full IDR 38114000 cannot be completed safely within the deadline while maintaining IDR 30049000.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today while maintaining the minimum balance of INR 71300.
request_49,15485720.36,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,Use 3 installments totaling IDR 35706320.01; the 90-day forecast maintains the minimum balance.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today while maintaining the minimum balance of INR 99700.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today while maintaining the minimum balance of IDR 7811000.
request_52,21927.86,affordable_later,wait,none,2024-06-15,none,"Wait until 2024-06-15, when the full INR 28870 is forecast safe without reducing protected spending."
request_53,623.55,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,Use 3 installments totaling USD 1767.18; the 90-day forecast maintains the minimum balance.
request_54,6382.81,not_affordable,not_recommended,none,,none,The full ZAR 121528 cannot be completed safely within the deadline while maintaining ZAR 37000.
request_55,127344.01,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Use 3 installments totaling INR 227343.99; the 90-day forecast maintains the minimum balance.
request_56,700.83,affordable_with_plan,partial_payment,2025-02-03:700.83|2025-02-15:180.73,2025-02-15,none,Pay USD 700.83 today and the remaining USD 180.73 on 2025-02-15.
request_57,15201.76,affordable_later,wait,none,2026-05-15,none,"Wait until 2026-05-15, when the full ZAR 61446 is forecast safe without reducing protected spending."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today while maintaining the minimum balance of IDR 14433900.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use 3 installments totaling INR 146223.99; the 90-day forecast maintains the minimum balance.
request_60,169.65,affordable_later,wait,none,2026-01-15,none,"Wait until 2026-01-15, when the full USD 199.89 is forecast safe without reducing protected spending."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use 3 installments totaling ZAR 30224.49; the 90-day forecast maintains the minimum balance.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today while maintaining the minimum balance of USD 1300.
request_63,60717.51,not_affordable,not_recommended,none,,none,The full INR 343900 cannot be completed safely within the deadline while maintaining INR 153500.
request_64,52000.51,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,Use 3 installments totaling INR 66248.01; the 90-day forecast maintains the minimum balance.
request_65,7179.80,not_affordable,not_recommended,none,,none,The full ZAR 54340 cannot be completed safely within the deadline while maintaining ZAR 15500.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today while maintaining the minimum balance of INR 80700.
request_67,357.22,affordable_later,wait,none,2024-11-15,none,"Wait until 2024-11-15, when the full USD 2094 is forecast safe without reducing protected spending."
request_68,1629.68,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,Use 3 installments totaling USD 2175.27; the 90-day forecast maintains the minimum balance.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today while maintaining the minimum balance of EUR 700.
request_70,60305.48,affordable_later,wait,none,2025-01-15,none,"Wait until 2025-01-15, when the full INR 243900 is forecast safe without reducing protected spending."
request_71,2020171.67,not_affordable,not_recommended,none,,none,The full IDR 21451000 cannot be completed safely within the deadline while maintaining IDR 8884800.
